Year,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
2012,Matthew Stafford\StafMa00,DET,24,QB,16,16,4/12/00,435,727,59.8,4967,20,2.8,17,2.3,267,57,6.8,6.3,11.4,310.4,79.8,56.1,29,212,6.29,5.81,3.8,3,3
2012,Drew Brees*\BreeDr00,NOR,33,QB,16,16,7/9/00,422,670,63,5177,43,6.4,19,2.8,266,80,7.7,7.7,12.3,323.6,96.3,68.7,26,190,7.17,7.17,3.7,1,2
2012,Tony Romo\RomoTo00,DAL,32,QB,16,16,8/8/00,425,648,65.6,4903,28,4.3,19,2.9,232,85,7.6,7.1,11.5,306.4,90.5,65.4,36,263,6.78,6.35,5.3,5,5
2012,Tom Brady *\BradTo00,NWE,35,QB,16,16,12/4/00,401,637,63,4827,34,5.3,8,1.3,256,83,7.6,8.1,12,301.7,98.7,76.1,27,182,7,7.48,4.1,1,2
2012,Andrew Luck *\LuckAn00,IND,23,QB,16,16,11/5/00,339,627,54.1,4374,23,3.7,18,2.9,208,70,7,6.4,12.9,273.4,76.5,65.6,41,246,6.18,5.66,6.1,4,7
2012,Matt Ryan*\RyanMa00,ATL,27,QB,16,16,13-3-0,422,615,68.6,4719,32,5.2,14,2.3,248,80,7.7,7.7,11.2,294.9,99.1,71.6,28,210,7.01,7.03,4.4,4,6
2012,Peyton Manning*+\MannPe00,DEN,36,QB,16,16,13-3-0,400,583,68.6,4659,37,6.3,11,1.9,231,71,8,8.4,11.6,291.2,105.8,79.6,21,137,7.49,7.89,3.5,3,3
2012,Carson Palmer\PalmCa00,OAK,33,QB,15,15,4/11/00,345,565,61.1,4018,22,3.9,14,2.5,188,64,7.1,6.8,11.6,267.9,85.3,46.6,26,199,6.46,6.14,4.4,2,2
2012,Josh Freeman\FreeJo00,TAM,24,QB,16,16,7/9/00,306,558,54.8,4065,27,4.8,17,3,186,95,7.3,6.9,13.3,254.1,81.6,49.4,26,161,6.68,6.3,4.5,1,1
2012,Aaron Rodgers *\RodgAa00,GNB,29,QB,16,16,11/5/00,371,552,67.2,4295,39,7.1,8,1.4,215,73,7.8,8.5,11.6,268.4,108,71.2,51,293,6.64,7.33,8.5,2,3
2012,Sam Bradford\BradSa00,STL,25,QB,16,16,7/8/01,328,551,59.5,3702,21,3.8,13,2.4,185,80,6.7,6.4,11.3,231.4,82.6,51.6,35,233,5.92,5.64,6,4,3
2012,Matt Schaub*\SchaMa00,HOU,31,QB,16,16,12/4/00,350,544,64.3,4008,22,4,12,2.2,203,60,7.4,7.2,11.5,250.5,90.7,61.3,27,216,6.64,6.47,4.7,2,2
2012,Eli Manning *\MannEl00,NYG,31,QB,16,16,9/7/00,321,536,59.9,3948,26,4.9,15,2.8,187,80,7.4,7.1,12.3,246.8,87.2,67,19,136,6.87,6.59,3.4,3,3
2012,Joe Flacco\FlacJo00,BAL,27,QB,16,16,10/6/00,317,531,59.7,3817,22,4.1,10,1.9,178,61,7.2,7.2,12,238.6,87.7,51.1,35,227,6.34,6.33,6.2,3,3
2012,Andy Dalton\DaltAn00,CIN,25,QB,16,16,10/6/00,329,528,62.3,3669,27,5.1,16,3,172,59,6.9,6.6,11.2,229.3,87.4,47.7,46,229,5.99,5.68,8,1,3
2012,Philip Rivers\RivePh00,SDG,31,QB,16,16,7/9/00,338,527,64.1,3606,26,4.9,15,2.8,184,80,6.8,6.5,10.7,225.4,88.6,42.6,49,311,5.72,5.45,8.5,,
2012,Brandon Weeden\WeedBr00,CLE,29,QB,15,15,5/10/00,297,517,57.4,3385,14,2.7,17,3.3,169,71,6.5,5.6,11.4,225.7,72.6,33.9,28,186,5.87,4.98,5.1,1,1
2012,Ryan Fitzpatrick\FitzRy00,BUF,30,QB,16,16,6/10/00,306,505,60.6,3400,24,4.8,16,3.2,175,68,6.7,6.3,11.1,212.5,83.3,43.8,30,161,6.05,5.61,5.6,0,1
2012,Cam Newton\NewtCa00,CAR,23,QB,16,16,7/9/00,280,485,57.7,3869,19,3.9,12,2.5,171,82,8,7.6,13.8,241.8,86.2,58.3,36,244,6.96,6.65,6.9,1,1
2012,Ryan Tannehill\TannRy00,MIA,24,QB,16,16,7/9/00,282,484,58.3,3294,12,2.5,13,2.7,151,80,6.8,6.1,11.7,205.9,76.1,48.4,35,234,5.9,5.23,6.7,1,1
2012,Christian Ponder\PondCh00,MIN,24,QB,16,16,10/6/00,300,483,62.1,2935,18,3.7,12,2.5,166,65,6.1,5.7,9.8,183.4,81.2,52.1,32,184,5.34,4.99,6.2,1,2
2012,Mark Sanchez\SancMa00,NYJ,26,QB,15,15,6/9/00,246,453,54.3,2883,13,2.9,18,4,146,66,6.4,5.2,11.7,192.2,66.9,27.1,34,209,5.49,4.36,7,1,1
2012,Ben Roethlisberger\RoetBe00,PIT,30,QB,13,13,7/6/00,284,449,63.3,3265,26,5.8,8,1.8,167,82,7.3,7.6,11.5,251.2,97,71.3,30,182,6.44,6.77,6.3,2,3
2012,Jay Cutler\CutlJa00,CHI,29,QB,15,15,10/5/00,255,434,58.8,3033,19,4.4,14,3.2,152,60,7,6.4,11.9,202.2,81.3,48.1,38,250,5.9,5.37,8.1,1,1
2012,Robert Griffin III*\GrifRo01,WAS,22,QB,15,15,9/6/00,258,393,65.6,3200,20,5.1,5,1.3,151,88,8.1,8.6,12.4,213.3,102.4,69.4,30,217,7.05,7.47,7.1,3,2
2012,Russell Wilson *\WilsRu00,SEA,24,QB,16,16,11/5/00,252,393,64.1,3118,26,6.6,10,2.5,153,67,7.9,8.1,12.4,194.9,100,72.7,33,203,6.84,7.01,7.7,3,4
2012,Michael Vick\VickMi00,PHI,32,QB,10,10,3/7/00,204,351,58.1,2362,12,3.4,10,2.8,115,77,6.7,6.1,11.6,236.2,78.1,47,28,153,5.83,5.27,7.4,3,3
2012,Jake Locker\LockJa00,TEN,24,QB,11,11,4/7/00,177,314,56.4,2176,10,3.2,11,3.5,94,71,6.9,6,12.3,197.8,74,42,25,151,5.97,5.1,7.4,0,1
2012,Blaine Gabbert\GabbBl00,JAX,23,QB,10,10,1/9/00,162,278,58.3,1662,9,3.2,6,2.2,72,80,6,5.7,10.3,166.2,77.4,36.1,22,158,5.01,4.71,7.3,1,1
2012,Matt Cassel\CassMa00,KAN,30,QB,9,8,1/7/00,161,277,58.1,1796,6,2.2,12,4.3,97,46,6.5,5,11.2,199.6,66.7,26.3,19,101,5.73,4.31,6.4,1,1
2012,Alex Smith\SmitAl03,SFO,28,QB,10,9,6/2/01,153,218,70.2,1737,13,6,5,2.3,87,55,8,8.1,11.4,173.7,104.1,65.1,24,137,6.61,6.76,9.9,,
2012,John Skelton\SkelJo00,ARI,24,QB,7,6,1/5/00,109,201,54.2,1132,2,1,9,4.5,55,40,5.6,3.8,10.4,161.7,55.4,18.3,15,98,4.79,3.1,6.9,1,1
